word,count
AAA,37
AAC,55
AAEE,41
AAIR,4
ABA,71
ABB,14
ABD,35
ABEA,41
ABEF,41
ABR,4
ACACE,35
ACAEA,41
ACB,14
ACE,8
ACFE,14
ACFF,35
ACL,4
ADB,71
ADD,14
ADDD,37
ADDRESS,3
ADM,4
ADMIN,6
ADOBE,4
AEB,36
AEBD,35
AFA,14
AFB,41
AFED,14
AFFADEACA,30
AFP,4
AFS,4
AGENT,8
AGRI,4
AIMPP,4
AIS,4
ALIASES,3
ALL,5
AMT,6
AMX,4
AND,3
ANSA,4
ANSRINGS,3
ANSYS,4
APC,32
APEX,4
API,8
APOLLO,6
APPSERVER,4
ARDUS,10
ARGIS,4
ARGS,4
ASF,4
ASN,4
AUTOMATIC,4
Aaron,5
Abe,4
Access,63
Accounting,6
Acquisition,7
Active,21
ActiveBatch,4
Adam,4
Adams,3
Adaptec,4
Address,9
Admin,51
Administration,16
Administrator,6
Admins,4
Adobe,6
Adrian,9
AeroFlight,4
Agent,85
AgentX,4
Ahti,4
Air,4
Akiyoshi,3
Alain,6
Alan,17
Alarm,10
Albert,7
Alberto,3
Alex,6
Alexander,15
All,10
Allan,3
Allen,11
Allow,11
Almesberger,4
Alon,4
Altaworks,3
Alternate,12
America,13
AmericaOnline,6
American,9
Amiga,4
Amir,9
Amy,4
Analysis,8
Analytics,4
Anasoft,4
Anderson,9
Andre,4
Andrea,3
Andreas,12
Andrew,18
Andy,15
Ann,3
Annex,4
Announcement,8
Anthony,8
Any,6
Apache,4
App,8
Apple,15
AppleTalk,18
Application,26
Applications,4
April,65
Arepa,4
Ariel,6
Armstrong,11
Arne,4
Arnold,3
Art,3
Assessor,6
Assistant,6
Associates,10
Attachmate,11
Attribute,3
Audio,12
Audit,10
August,29
Auth,4
Authentication,17
Authorization,4
Autocue,6
Autodesk,4
Automation,6
Avi,3
Avocent,9
Avshalom,6
Axon,4
BAB,14
BAD,41
BAE,30
BAFC,30
BBBC,30
BBC,30
BBCDF,14
BBD,36
BBE,14
BBN,13
BCB,37
BCC,14
BCCD,14
BCF,37
BEA,41
BEABF,41
BEAFFD,30
BEC,14
BEDFF,37
BEE,55
BEEP,4
BELOW,4
BFA,41
BFAF,30
BFBFC,14
BFE,14
BMC,28
BPCP,4
BTS,4
BThomas,3
BULLANT,4
Back,7
Backplane,4
Backup,12
Bacula,6
Bahl,3
Bailey,4
Baker,5
Balance,4
Balancing,4
Ballardie,4
Barry,5
Base,6
Basic,3
Beacon,6
Becker,4
Beeri,3
Beeyond,4
Behne,3
Ben,8
Benjamin,6
Benner,3
Bennett,3
Berkeley,12
Bernard,3
Bernstein,5
Bert,3
Best,4
Betsy,3
Bill,31
BinTec,6
Binding,5
BioLink,3
Bishop,3
Bjorn,3
Blich,3
Blockade,4
BoKS,16
Bob,31
Bone,4
Book,4
BootCacheControl,9
Bootstrap,8
Boris,6
Box,3
Brad,9
Braden,7
Bradley,3
Brent,5
Brett,4
Brian,40
Bridge,8
Bridget,3
Britton,3
Broker,24
Brown,4
Bruce,18
Bryan,3
Burgess,4
Bus,4
Business,12
CAADDDEC,41
CAB,3
CBA,35
CBB,86
CBEB,30
CCA,41
CCC,87
CCD,14
CCDDC,30
CCDEED,14
CCM,6
