13:51:57 [main] INFO  at.bookworm.crawler.FeedCrawler - starting crawler...
13:51:57 [main] DEBUG at.bookworm.crawler.FeedCrawler - fetching feeds...
13:51:57 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:1
13:51:57 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:51:57 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:57 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:57 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:57 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:58 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:58 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:58 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:58 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:58 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:59 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:59 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:51:59 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:00 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:00 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:00 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:01 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:02 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:03 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:04 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:05 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:05 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:05 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:3
13:52:05 [Thread-55] INFO  at.bookworm.crawler.DefaultFetchStrategy - com.sun.syndication.io.ParsingFeedException: Invalid XML: Error on line 63: The element type "description" must be terminated by the matching end-tag "</description>".
13:52:05 [main] DEBUG at.bookworm.crawler.ThreadFactory - active threads:2
